اداره,وحده,من الاولي الي الرابعه,الخامسه والمنشطه,بي سي جي
أولاد صقر,ابراهيم حسن,الإثنين 2، الإثنين 4,الإثنين 2,
أولاد صقر,ابو راشد,الإثنين 2، الإثنين 4,الإثنين 4,
أولاد صقر,ابوطاحون,الإثنين 2، الإثنين 4,الإثنين 4,
أولاد صقر,ابوعوينات,الخميس 2، الخميس 4,الخميس 4,
أولاد صقر,الشوافين,الأحد,الأحد 2، الأحد 4,
أولاد صقر,الصوفيه,السبت، الإثنين، الثلاثاء، الخميس,الثلاثاء,السبت
أولاد صقر,الفرايحه,الخميس 2، الخميس 4,الخميس 4,
أولاد صقر,المنشر,السبت 2، السبت 4,السبت 4,
أولاد صقر,اولاد صقر,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء,الأحد، الأربعاء,السبت، الثلاثاء
أولاد صقر,بنى حسن,الخميس,الخميس 1، الخميس 3,
أولاد صقر,بنى عبس,السبت 2، السبت 4,,
أولاد صقر,بنى منصور,الأربعاء 2، الأربعاء 4,الأربعاء 2، الأربعاء 4,
أولاد صقر,ترعه البطيخ,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,
أولاد صقر,تلراك,السبت، الإثنين,الإثنين,السبت 2، السبت 4
أولاد صقر,جزيره الشافعى,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,
أولاد صقر,جزيره الفرس,الإثنين 2، الإثنين 4,,
أولاد صقر,جزيره مطاوع,الأحد,الأحد 1، الأحد 3,
أولاد صقر,حماده,الأربعاء 2، الأربعاء 4,الأربعاء 2، الأربعاء 4,
أولاد صقر,راغب,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2,
أولاد صقر,زور ابوالليل,الأحد، الأربعاء 1، الأربعاء 3,الأربعاء 1، الأربعاء 3,الأحد 3
أولاد صقر,قصاصين الازهار,السبت، الأربعاء,الأربعاء,السبت
أولاد صقر,منشاه الامير,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,
أولاد صقر,منشاه السادات,الأربعاء 2، الأربعاء 4,الأربعاء 4,
ابو كبير,ابوياسين,الأحد,الأحد,
ابو كبير,الاحراز,الإثنين 2، الإثنين 4,الإثنين 2,
ابو كبير,الحصوه,السبت، الثلاثاء,الثلاثاء,السبت 2، السبت 5
ابو كبير,الحمادين ام عثمان,الأحد 2، الأحد 5,,
ابو كبير,الدهتمون,الأحد,الأحد,الأحد 3
ابو كبير,الرحمانيه,السبت 5، الأربعاء,الأربعاء,السبت 5
ابو كبير,الرياض,الأحد,الأحد 2، الأحد 5,
ابو كبير,الزرزورية,الإثنين,الإثنين 2، الإثنين 4,
ابو كبير,الشيخ رزيق,الأربعاء 3، الأربعاء 4,الأربعاء 3,
ابو كبير,الطوخى,الأحد 2، الأحد 5,الأحد 2، الأحد 5,
ابو كبير,العزازيه,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2,
ابو كبير,الغابه,الإثنين 3، الإثنين 4,الإثنين 3، الإثنين 4,
